,ALPHA_DEG,BETA_DEG,MACH,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
1024,-9,-2,5.0,0.0311118,-0.180011,0.0333471,-0.00364541,0.0531248,-0.0488215,-2.43385,0.196957
1025,-9,-1,5.0,0.031027,-0.179797,0.0167123,-0.00183951,0.0530614,-0.0244073,-2.43157,0.1964
1026,-9,0,5.0,0.0310484,-0.179765,0.0001546,-3.4335e-05,0.0530341,-0.000143831,-2.43082,0.196219
1027,-9,1,5.0,0.0309898,-0.17979,-0.0163995,0.00177083,0.0530569,0.0241303,-2.43156,0.1964
1028,-9,2,5.0,0.0311585,-0.18001,-0.0330341,0.0035726,0.0531194,0.0485242,-2.4338,0.196956
1029,-9,3,5.0,0.0312966,-0.180355,-0.0498398,0.00537254,0.0532194,0.07318,-2.43749,0.197865
1030,-9,4,5.0,0.0315943,-0.180828,-0.0668907,0.00718091,0.0533545,0.0981623,-2.44252,0.199125
1031,-9,5,5.0,0.0318642,-0.181449,-0.0842795,0.00898442,0.0535081,0.123734,-2.44882,0.20068
1032,-8,-6,5.0,0.0328997,-0.150772,0.101222,-0.0104547,0.0457785,-0.149284,-2.45673,0.209211
1033,-8,-5,5.0,0.0326754,-0.150019,0.0836147,-0.00871014,0.0455759,-0.123207,-2.44896,0.207412
1034,-8,-4,5.0,0.0322977,-0.149369,0.0664064,-0.00697877,0.0454039,-0.0977301,-2.44243,0.205897
1035,-8,-3,5.0,0.0322288,-0.148892,0.0495629,-0.00523618,0.0452749,-0.0729119,-2.43719,0.204668
1036,-8,-2,5.0,0.0320238,-0.148521,0.0329501,-0.00350856,0.0451647,-0.0484134,-2.43333,0.203782
1037,-8,-1,5.0,0.0319322,-0.148306,0.0165203,-0.00176614,0.045102,-0.0242211,-2.43098,0.203234
1038,-8,0,5.0,0.0319719,-0.148279,0.000146387,-3.43392e-05,0.0450734,-0.000134588,-2.43022,0.203066
1039,-8,1,5.0,0.0319246,-0.148305,-0.0162161,0.00170046,0.0450997,0.0239343,-2.43095,0.203233
1040,-8,2,5.0,0.0320942,-0.148525,-0.0326488,0.00343103,0.0451659,0.0481565,-2.43331,0.203783
1041,-8,3,5.0,0.0321932,-0.148863,-0.0492561,0.0051645,0.0452582,0.0725845,-2.43714,0.204671
1042,-8,4,5.0,0.0324895,-0.149334,-0.0661162,0.00690433,0.0453931,0.0973767,-2.44237,0.205902
1043,-8,5,5.0,0.032575,-0.149941,-0.0833042,0.00864226,0.0455579,0.122826,-2.44886,0.207417
1044,-7,-6,5.0,0.0338277,-0.11985,0.100133,-0.0100722,0.038028,-0.148178,-2.45549,0.216148
1045,-7,-5,5.0,0.0336286,-0.119099,0.0827049,-0.00838626,0.0378326,-0.122289,-2.44748,0.214419
1046,-7,-4,5.0,0.033245,-0.11845,0.0656717,-0.00671536,0.0376666,-0.096988,-2.4407,0.212955
1047,-7,-3,5.0,0.0331833,-0.117974,0.049006,-0.00503135,0.03754,-0.0723492,-2.43526,0.211768
1048,-7,-2,5.0,0.032964,-0.117611,0.0325714,-0.00336899,0.0374319,-0.0480261,-2.4313,0.210916
1049,-7,-1,5.0,0.0328732,-0.117408,0.0163163,-0.00170027,0.0373723,-0.0239989,-2.42891,0.210395
1050,-7,0,5.0,0.0327791,-0.117373,0.000145139,-3.43109e-05,0.0373522,-0.000130968,-2.42811,0.210221
1051,-7,1,5.0,0.0328775,-0.117413,-0.0160221,0.00163069,0.0373684,0.0237249,-2.4289,0.210399
1052,-7,2,5.0,0.0330656,-0.117625,-0.0322786,0.00328888,0.037434,0.0477851,-2.43129,0.210916
1053,-7,3,5.0,0.0331323,-0.117955,-0.0487099,0.00496323,0.0375213,0.0720331,-2.43525,0.211776
1054,-7,4,5.0,0.0334226,-0.118428,-0.0653917,0.00664343,0.0376551,0.0966455,-2.44067,0.212966
1055,-7,5,5.0,0.0335107,-0.11903,-0.0823976,0.00831894,0.0378175,0.12193,-2.44743,0.21443
1056,-6,-6,5.0,0.0349212,-0.0894112,0.0991285,-0.00972489,0.0304728,-0.147165,-2.45259,0.223256
1057,-6,-5,5.0,0.0346933,-0.0886784,0.081857,-0.00809588,0.0302852,-0.121471,-2.44435,0.22161
1058,-6,-4,5.0,0.0343249,-0.088039,0.0649912,-0.00648421,0.0301197,-0.0963249,-2.43736,0.220218
1059,-6,-3,5.0,0.0342849,-0.0875745,0.0484975,-0.00486391,0.0300002,-0.0718475,-2.43175,0.219086
1060,-6,-2,5.0,0.0340846,-0.0872161,0.0322275,-0.0032567,0.0298984,-0.0476983,-2.42766,0.218272
1061,-6,-1,5.0,0.033944,-0.0870039,0.016132,-0.0016487,0.0298371,-0.0238182,-2.42517,0.217785
1062,-6,0,5.0,0.0336341,-0.0869266,0.000140316,-3.3756e-05,0.0298384,-0.000129164,-2.42427,0.217604
1063,-6,1,5.0,0.0339631,-0.087,-0.0158557,0.00158108,0.0298288,0.0235757,-2.42515,0.217787
1064,-6,2,5.0,0.0341863,-0.087214,-0.0319505,0.00318013,0.0298944,0.0474526,-2.42763,0.218277
1065,-6,3,5.0,0.034186,-0.0875297,-0.0482096,0.0047954,0.0299773,0.0715264,-2.43171,0.219097
1066,-6,4,5.0,0.0345253,-0.0879995,-0.0647237,0.00641019,0.030105,0.0959901,-2.43729,0.220231
1067,-6,5,5.0,0.0346233,-0.0885965,-0.081566,0.00802537,0.0302626,0.12111,-2.44427,0.221627
1068,-5,-6,5.0,0.036358,-0.0593506,0.0982047,-0.00940093,0.0230538,-0.146271,-2.44794,0.230446
1069,-5,-5,5.0,0.0361151,-0.0586274,0.0810787,-0.00782659,0.0228677,-0.120703,-2.43944,0.228896
1070,-5,-4,5.0,0.0358009,-0.0580133,0.0643721,-0.00626723,0.0227166,-0.0957623,-2.43223,0.227584
1071,-5,-3,5.0,0.0357326,-0.0575507,0.0480261,-0.00470006,0.0225948,-0.0714009,-2.42645,0.226517
1072,-5,-2,5.0,0.0355161,-0.0571934,0.031913,-0.00314685,0.0225025,-0.0473684,-2.42221,0.225748
1073,-5,-1,5.0,0.0353706,-0.0569912,0.0159765,-0.00159153,0.0224418,-0.0236673,-2.41961,0.22528
1074,-5,0,5.0,0.0350448,-0.0569104,0.000131992,-3.46988e-05,0.0224431,-0.000110719,-2.41872,0.225122
1075,-5,1,5.0,0.0353818,-0.0569831,-0.0157126,0.00152265,0.0224366,0.0234558,-2.4196,0.225285
1076,-5,2,5.0,0.0355975,-0.0571858,-0.0316447,0.0030712,0.0224944,0.0471512,-2.42219,0.225757
1077,-5,3,5.0,0.0356401,-0.0575043,-0.0477496,0.0046332,0.0225773,0.0710712,-2.4264,0.226529
1078,-5,4,5.0,0.0359086,-0.0579589,-0.06411,0.00619483,0.0227064,0.0953924,-2.43216,0.227599
1079,-5,5,5.0,0.0360133,-0.0585481,-0.0808023,0.00775798,0.0228572,0.120367,-2.43937,0.228916
1080,-4,-6,5.0,0.0379891,-0.0295382,0.0973638,-0.00911177,0.0157665,-0.145429,-2.44149,0.237609
1081,-4,-5,5.0,0.0377275,-0.0288269,0.0803714,-0.00758594,0.0155842,-0.119988,-2.43275,0.236164
1082,-4,-4,5.0,0.0375337,-0.028238,0.0638117,-0.0060678,0.0154493,-0.0952206,-2.42533,0.234942
1083,-4,-3,5.0,0.0373414,-0.0277806,0.0475976,-0.00455293,0.0153294,-0.0709969,-2.41938,0.233946
