MACH,CYP,CYR,CNQ,CNAD,CLLP,CMQ,CMAD,CLNR,CLLR,CLNP,CNDEL,CNDER,CMDEL,CMDER,CLLDEL,CLLDER,CHDE,CYDR,CLNDR,CLLDR,CHDR
2.3,1.0456795031984774,1.9122619088211563,0.9132005911893334,0.32336226278400004,-0.4474092191349051,-1.0456526296286681,-0.899069088251449,-11.523555075730627,0.014659814400000004,1.187144828011995,0.05421906341855305,0.05421906341855305,-0.03506921691611202,-0.03506921691611202,0.03046386858509125,-0.03046386858509125,0.013821606062496727,0.07429004761983096,-0.08468499524668964,0.042248724291769894,-0.0008282606874962561
2.35,1.0403788475920865,1.8928062958818628,0.9039159960746667,0.3165254306133333,-0.446301983201698,-0.9937024051663238,-0.8302041683740445,-10.867880794009608,0.014659814400000004,1.18473541047801,0.052618168464200504,0.052618168464200504,-0.03406287419466907,-0.03406287419466907,0.029697355295955092,-0.029697355295955092,0.00896078580823714,0.07431647399713238,-0.08489198535059607,0.04220057643070839,-0.000859311614809865
2.4,1.0349991516532318,1.8734477298375691,0.8947232419840001,0.30978310152533334,-0.44514314666767474,-0.9464711290715023,-0.7686915686795786,-10.271925502353923,0.014659814400000004,1.1822028570208412,0.05116264680525729,0.05116264680525729,-0.03314540703006267,-0.03314540703006267,0.028990207355092598,-0.028990207355092598,0.005110384040139963,0.07442257443033536,-0.08521017765543928,0.04218591368754256,-0.0008940714334590495
2.45,1.0295434085368844,1.8541973438446915,0.8856243254613333,0.3031359410346667,-0.44393493449581417,-0.9033943789892267,-0.7135242266700393,-9.728689988806968,0.014659814400000004,1.1795557229862939,0.04985801169221681,0.04985801169221681,-0.032320184514727186,-0.032320184514727186,0.028344671798361778,-0.028344671798361778,0.002309260920893204,0.0745942140423405,-0.08562018608868545,0.042198581633787625,-0.0009319544190901268
2.5,1.0240126401980134,1.8350692278596468,0.8766212430506667,0.296584614656,-0.44268154284909483,-0.8639886211185779,-0.6638609013832331,-9.232164583812148,0.014659814400000004,1.1768065061201725,0.04870977637557244,0.04870977637557244,-0.03159057574109701,-0.03159057574109701,0.02776299566162065,-0.02776299566162065,0.000596276613184705,0.07481725795604856,-0.0861026245778009,0.042232425840958876,-0.0009723748473494143
2.55,1.01840688299159,1.8160745150388513,0.8677153257813334,0.2901291223893333,-0.44138421109049547,-0.8278395263104408,-0.6189947167328712,-8.77716752181286,0.014659814400000004,1.1739667185682814,0.047723454105817596,0.047723454105817596,-0.03095994980160653,-0.03095994980160653,0.027247425980727234,-0.027247425980727234,1.0291279702578663e-05,0.07507757129436012,-0.08663810705025182,0.042281291880571524,-0.0010147469938832287
2.6,1.0127281444725835,1.7972233529387218,0.8589065736533333,0.2837694642346667,-0.4400461497829948,-0.7945884886418286,-0.5783279961806426,-8.359212870852506,0.014659814400000004,1.1710459012764245,0.04685035784838479,0.04685035784838479,-0.030399125613134563,-0.030399125613134563,0.026779794779188886,-0.026779794779188886,1.5726650243054904e-06,0.07536101918017589,-0.08720724743350448,0.04233902532414084,-0.0010584851343378868
2.65,1.006977446595965,1.7785258891156739,0.8501976487253333,0.2775063057066667,-0.43866761268957133,-0.7639249859413334,-0.541352489978555,-7.974399159774488,0.014659814400000004,1.1680565519904083,0.04600824313192951,0.04600824313192951,-0.029857846186997602,-0.029857846186997602,0.026326590168220317,-0.026326590168220317,-6.332048715731269e-06,0.0756534667363965,-0.08779065965502517,0.042399471743182045,-0.0011030035443597055
2.7,1.0011548257167049,1.7599942423261246,0.8415878854826667,0.2713389812906667,-0.4372508247732038,-0.735579839076287,-0.5076354443624026,-7.619323631022205,0.014659814400000004,1.1650042692560372,0.045195611526258506,0.045195611526258506,-0.029335202203393074,-0.029335202203393074,0.025887347533301176,-0.025887347533301176,-1.3511061401089366e-05,0.07594077908592266,-0.0883689576422801,0.042456476709210406,-0.0011477164995950025
2.75,0.9952622893897732,1.7416365889264902,0.83307794944,0.2652674909866667,-0.4358009677968709,-0.7093166737165003,-0.47680432260266675,-7.291007335039059,0.014659814400000004,1.161901550819115,0.04441103764254802,0.04441103764254802,-0.028830323260932513,-0.028830323260932513,0.025461588602766864,-0.025461588602766864,-2.0041086407145524e-05,0.07620882135165503,-0.08892275532273555,0.042503885793741175,-0.0011920382756900945
